Period (s), SA (ms2)
8.26446E-02, 7.37173E-02
8.24176E-02, 7.39189E-02
8.21918E-02, 7.40919E-02
8.19672E-02, 7.42307E-02
8.17439E-02, 7.43313E-02
8.15217E-02, 7.43910E-02
8.13008E-02, 7.44087E-02
8.10811E-02, 7.43849E-02
8.08625E-02, 7.43214E-02
8.06452E-02, 7.42213E-02
8.04290E-02, 7.40887E-02
8.02139E-02, 7.39286E-02
8.00000E-02, 7.37465E-02
7.97872E-02, 7.35484E-02
7.95756E-02, 7.33402E-02
7.93651E-02, 7.31280E-02
7.91557E-02, 7.29174E-02
7.89474E-02, 7.27135E-02
7.87402E-02, 7.25211E-02
7.85340E-02, 7.23438E-02
7.83290E-02, 7.21850E-02
7.81250E-02, 7.20467E-02
7.79221E-02, 7.19303E-02
7.77202E-02, 7.18360E-02
7.75194E-02, 7.17634E-02
7.73196E-02, 7.17109E-02
7.71208E-02, 7.16761E-02
7.69231E-02, 7.16561E-02
7.67263E-02, 7.16471E-02
7.65306E-02, 7.16452E-02
7.63359E-02, 7.16461E-02
7.61421E-02, 7.16455E-02
7.59494E-02, 7.16392E-02
7.57576E-02, 7.16232E-02
7.55668E-02, 7.15938E-02
7.53769E-02, 7.15482E-02
7.51880E-02, 7.14835E-02
7.50000E-02, 7.13979E-02
7.48130E-02, 7.12898E-02
7.46269E-02, 7.11584E-02
7.44417E-02, 7.10032E-02
7.42574E-02, 7.08242E-02
7.40741E-02, 7.06218E-02
7.38916E-02, 7.03968E-02
7.37101E-02, 7.01501E-02
7.35294E-02, 6.98829E-02
7.33496E-02, 6.95965E-02
7.31707E-02, 6.92922E-02
7.29927E-02, 6.89717E-02
7.28155E-02, 6.86365E-02
7.26392E-02, 6.82884E-02
7.24638E-02, 6.79292E-02
7.22892E-02, 6.75608E-02
7.21154E-02, 6.71853E-02
7.19424E-02, 6.68047E-02
7.17703E-02, 6.64212E-02
7.15990E-02, 6.60369E-02
7.14286E-02, 6.56538E-02
7.12589E-02, 6.52737E-02
7.10900E-02, 6.48983E-02
7.09220E-02, 6.45290E-02
7.07547E-02, 6.41667E-02
7.05882E-02, 6.38121E-02
7.04225E-02, 6.34655E-02
7.02576E-02, 6.31267E-02
7.00935E-02, 6.27952E-02
6.99301E-02, 6.24703E-02
6.97674E-02, 6.21506E-02
6.96056E-02, 6.18350E-02
6.94444E-02, 6.15220E-02
6.92841E-02, 6.12099E-02
6.91244E-02, 6.08972E-02
6.89655E-02, 6.05824E-02
6.88073E-02, 6.02643E-02
6.86499E-02, 5.99417E-02
6.84932E-02, 5.96140E-02
6.83371E-02, 5.92807E-02
6.81818E-02, 5.89417E-02
6.80272E-02, 5.85974E-02
6.78733E-02, 5.82482E-02
6.77201E-02, 5.78953E-02
6.75676E-02, 5.75395E-02
6.74157E-02, 5.71824E-02
6.72646E-02, 5.68253E-02
6.71141E-02, 5.64698E-02
6.69643E-02, 5.61171E-02
6.68151E-02, 5.57688E-02
6.66667E-02, 5.54261E-02
6.65188E-02, 5.50900E-02
6.63717E-02, 5.47614E-02
6.62252E-02, 5.44411E-02
6.60793E-02, 5.41294E-02
6.59341E-02, 5.38268E-02
6.57895E-02, 5.35333E-02
6.56455E-02, 5.32489E-02
6.55022E-02, 5.29736E-02
6.53595E-02, 5.27072E-02
6.52174E-02, 5.24494E-02
6.50759E-02, 5.22002E-02
6.49351E-02, 5.19593E-02
6.47948E-02, 5.17268E-02
6.46552E-02, 5.15027E-02
6.45161E-02, 5.12872E-02
6.43777E-02, 5.10803E-02
6.42398E-02, 5.08827E-02
6.41026E-02, 5.06946E-02
6.39659E-02, 5.05166E-02
6.38298E-02, 5.03494E-02
6.36943E-02, 5.01934E-02
6.35593E-02, 5.00495E-02
6.34249E-02, 4.99182E-02
6.32911E-02, 4.98000E-02
6.31579E-02, 4.96957E-02
6.30252E-02, 4.96056E-02
6.28931E-02, 4.95301E-02
6.27615E-02, 4.94695E-02
6.26305E-02, 4.94240E-02
6.25000E-02, 4.93936E-02
6.23701E-02, 4.93783E-02
6.22407E-02, 4.93779E-02
6.21118E-02, 4.93919E-02
6.19835E-02, 4.94200E-02
6.18557E-02, 4.94616E-02
6.17284E-02, 4.95160E-02
6.16016E-02, 4.95822E-02
6.14754E-02, 4.96595E-02
6.13497E-02, 4.97468E-02
6.12245E-02, 4.98431E-02
6.10998E-02, 4.99472E-02
6.09756E-02, 5.00579E-02
6.08519E-02, 5.01741E-02
6.07287E-02, 5.02945E-02
6.06061E-02, 5.04179E-02
6.04839E-02, 5.05432E-02
6.03622E-02, 5.06692E-02
6.02410E-02, 5.07947E-02
6.01202E-02, 5.09188E-02
6.00000E-02, 5.10405E-02
5.98802E-02, 5.11587E-02
5.97610E-02, 5.12727E-02
5.96421E-02, 5.13817E-02
5.95238E-02, 5.14848E-02
5.94059E-02, 5.15814E-02
5.92885E-02, 5.16708E-02
5.91716E-02, 5.17525E-02
5.90551E-02, 5.18257E-02
5.89391E-02, 5.18902E-02
5.88235E-02, 5.19453E-02
5.87084E-02, 5.19906E-02
5.85938E-02, 5.20258E-02
5.84795E-02, 5.20506E-02
5.83658E-02, 5.20647E-02
5.82524E-02, 5.20679E-02
5.81395E-02, 5.20600E-02
5.80271E-02, 5.20411E-02
5.79151E-02, 5.20109E-02
5.78035E-02, 5.19697E-02
5.76923E-02, 5.19173E-02
5.75816E-02, 5.18540E-02
5.74713E-02, 5.17800E-02
5.73614E-02, 5.16953E-02
5.72519E-02, 5.16004E-02
5.71429E-02, 5.14955E-02
5.70342E-02, 5.13810E-02
5.69260E-02, 5.12572E-02
5.68182E-02, 5.11248E-02
5.67108E-02, 5.09840E-02
5.66038E-02, 5.08356E-02
5.64972E-02, 5.06801E-02
5.63910E-02, 5.05182E-02
5.62852E-02, 5.03506E-02
5.61798E-02, 5.01780E-02
5.60748E-02, 5.00011E-02
5.59701E-02, 4.98208E-02
5.58659E-02, 4.96379E-02
5.57621E-02, 4.94531E-02
5.56586E-02, 4.92673E-02
5.55556E-02, 4.90812E-02
5.54529E-02, 4.88956E-02
5.53506E-02, 4.87112E-02
5.52486E-02, 4.85287E-02
5.51471E-02, 4.83486E-02
5.50459E-02, 4.81716E-02
5.49451E-02, 4.79982E-02
5.48446E-02, 4.78287E-02
5.47445E-02, 4.76636E-02
5.46448E-02, 4.75031E-02
5.45455E-02, 4.73475E-02
5.44465E-02, 4.71970E-02
5.43478E-02, 4.70517E-02
5.42495E-02, 4.69116E-02
5.41516E-02, 4.67767E-02
5.40541E-02, 4.66470E-02
5.39568E-02, 4.65224E-02
5.38600E-02, 4.64026E-02
5.37634E-02, 4.62875E-02
5.36673E-02, 4.61767E-02
5.35714E-02, 4.60702E-02
5.34759E-02, 4.59673E-02
5.33808E-02, 4.58679E-02
5.32860E-02, 4.57715E-02
5.31915E-02, 4.56777E-02
5.30973E-02, 4.55859E-02
5.30035E-02, 4.54959E-02
5.29101E-02, 4.54070E-02
5.28169E-02, 4.53188E-02
5.27241E-02, 4.52307E-02
5.26316E-02, 4.51425E-02
5.25394E-02, 4.50535E-02
5.24476E-02, 4.49633E-02
5.23560E-02, 4.48717E-02
5.22648E-02, 4.47783E-02
5.21739E-02, 4.46828E-02
5.20833E-02, 4.45851E-02
5.19931E-02, 4.44850E-02
5.19031E-02, 4.43825E-02
5.18135E-02, 4.42777E-02
5.17241E-02, 4.41705E-02
5.16351E-02, 4.40613E-02
5.15464E-02, 4.39502E-02
5.14580E-02, 4.38376E-02
5.13699E-02, 4.37237E-02
5.12821E-02, 4.36090E-02
5.11945E-02, 4.34938E-02
5.11073E-02, 4.33785E-02
5.10204E-02, 4.32635E-02
5.09338E-02, 4.31493E-02
5.08475E-02, 4.30361E-02
5.07614E-02, 4.29244E-02
5.06757E-02, 4.28145E-02
5.05902E-02, 4.27066E-02
5.05051E-02, 4.26011E-02
5.04202E-02, 4.24980E-02
5.03356E-02, 4.23975E-02
5.02513E-02, 4.22998E-02
5.01672E-02, 4.22049E-02
5.00835E-02, 4.21127E-02
5.00000E-02, 4.20233E-02
4.99168E-02, 4.19366E-02
4.98339E-02, 4.18523E-02
4.97512E-02, 4.17704E-02
4.96689E-02, 4.16906E-02
4.95868E-02, 4.16128E-02
4.95050E-02, 4.15367E-02
4.94234E-02, 4.14620E-02
4.93421E-02, 4.13886E-02
4.92611E-02, 4.13161E-02
4.91803E-02, 4.12444E-02
4.90998E-02, 4.11732E-02
4.90196E-02, 4.11023E-02
4.89396E-02, 4.10317E-02
4.88599E-02, 4.09610E-02
4.87805E-02, 4.08903E-02
4.87013E-02, 4.08194E-02
4.86224E-02, 4.07484E-02
4.85437E-02, 4.06770E-02
4.84653E-02, 4.06055E-02
4.83871E-02, 4.05338E-02
4.83092E-02, 4.04619E-02
4.82315E-02, 4.03900E-02
4.81541E-02, 4.03182E-02
4.80769E-02, 4.02464E-02
4.80000E-02, 4.01750E-02
4.79233E-02, 4.01038E-02
4.78469E-02, 4.00332E-02
4.77707E-02, 3.99632E-02
4.76948E-02, 3.98939E-02
4.76190E-02, 3.98255E-02
4.75436E-02, 3.97580E-02
4.74684E-02, 3.96916E-02
4.73934E-02, 3.96264E-02
4.73186E-02, 3.95625E-02
4.72441E-02, 3.94999E-02
4.71698E-02, 3.94387E-02
4.70958E-02, 3.93791E-02
4.70219E-02, 3.93211E-02
4.69484E-02, 3.92648E-02
4.68750E-02, 3.92103E-02
4.68019E-02, 3.91576E-02
4.67290E-02, 3.91069E-02
4.66563E-02, 3.90582E-02
4.65839E-02, 3.90115E-02
4.65116E-02, 3.89671E-02
4.64396E-02, 3.89248E-02
4.63679E-02, 3.88849E-02
4.62963E-02, 3.88473E-02
4.62250E-02, 3.88123E-02
4.61538E-02, 3.87797E-02
4.60829E-02, 3.87497E-02
4.60123E-02, 3.87224E-02
4.59418E-02, 3.86978E-02
4.58716E-02, 3.86759E-02
4.58015E-02, 3.86568E-02
4.57317E-02, 3.86405E-02
4.56621E-02, 3.86270E-02
4.55927E-02, 3.86163E-02
4.55235E-02, 3.86084E-02
4.54545E-02, 3.86032E-02
4.53858E-02, 3.86008E-02
4.53172E-02, 3.86010E-02
4.52489E-02, 3.86037E-02
4.51807E-02, 3.86089E-02
4.51128E-02, 3.86164E-02
4.50450E-02, 3.86261E-02
4.49775E-02, 3.86378E-02
4.49102E-02, 3.86513E-02
4.48430E-02, 3.86665E-02
4.47761E-02, 3.86830E-02
4.47094E-02, 3.87008E-02
4.46429E-02, 3.87196E-02
4.45765E-02, 3.87390E-02
4.45104E-02, 3.87589E-02
4.44444E-02, 3.87790E-02
4.43787E-02, 3.87990E-02
4.43131E-02, 3.88187E-02
4.42478E-02, 3.88378E-02
4.41826E-02, 3.88561E-02
4.41176E-02, 3.88733E-02
4.40529E-02, 3.88893E-02
4.39883E-02, 3.89038E-02
4.39239E-02, 3.89168E-02
4.38596E-02, 3.89280E-02
4.37956E-02, 3.89374E-02
